河北频道,#genre#
河南卫视,http://121.24.99.99:8090/hls/34/index.m3u8
浙江卫视,http://111.225.95.129:33333/hls/31/index.m3u8
浙江卫视,http://111.61.236.247:9081/hls/25/index.m3u8
浙江卫视,http://121.24.99.99:8090/hls/79/index.m3u8
海南卫视,http://111.225.95.129:33333/hls/42/index.m3u8
深圳卫视,http://111.225.95.129:33333/hls/28/index.m3u8
深圳卫视,http://111.61.236.247:9081/hls/38/index.m3u8
深圳卫视,http://121.24.99.99:8090/hls/84/index.m3u8
湖北卫视,http://111.225.95.129:33333/hls/44/index.m3u8
湖北卫视,http://111.61.236.247:9081/hls/39/index.m3u8
湖北卫视,http://121.24.99.99:8090/hls/57/index.m3u8
湖南卫视,http://111.225.95.129:33333/hls/26/index.m3u8
湖南卫视,http://111.61.236.247:9081/hls/24/index.m3u8
湖南卫视,http://121.24.99.99:8090/hls/56/index.m3u8
甘肃卫视,http://111.225.95.129:33333/hls/60/index.m3u8
甘肃卫视,http://111.61.236.247:9081/hls/54/index.m3u8
西藏卫视,http://111.225.95.129:33333/hls/47/index.m3u8
西藏卫视,http://111.61.236.247:9081/hls/52/index.m3u8
西藏卫视,http://121.24.99.99:8090/hls/68/index.m3u8
贵州卫视,http://111.225.95.129:33333/hls/53/index.m3u8
贵州卫视,http://111.61.236.247:9081/hls/37/index.m3u8
贵州卫视,http://121.24.99.99:8090/hls/40/index.m3u8
辽宁卫视,http://111.225.95.129:33333/hls/35/index.m3u8
辽宁卫视,http://111.61.236.247:9081/hls/30/index.m3u8
辽宁卫视,http://121.24.99.99:8090/hls/59/index.m3u8
重庆卫视,http://111.225.95.129:33333/hls/55/index.m3u8
重庆卫视,http://111.61.236.247:9081/hls/41/index.m3u8
重庆卫视,http://121.24.99.99:8090/hls/78/index.m3u8
陕西卫视,http://111.225.95.129:33333/hls/39/index.m3u8
陕西卫视,http://111.61.236.247:9081/hls/46/index.m3u8
陕西卫视,http://121.24.99.99:8090/hls/86/index.m3u8
